site     long.      lat. 	   X		   Y		    Z 		 s_year  e_year    d_year
 CSLO  -69.3022  -31.7849     1918784.5494    -5078509.3409    -3341569.3524    2009.456 2021.988  12.53 
 CTLR  -70.0968  -21.9642     2015384.5651    -5566475.8065    -2371586.5098    2007.533 2018.262  10.73 
 CTPC  -71.2976  -32.5611     1725404.1765    -5096784.7734    -3413095.8966    2015.768 2021.985   6.22 
 CUIB  -56.0699  -15.5553     3430711.4000    -5099641.5847    -1699432.8864    2004.001 2021.988  17.99 
 CURI  -71.2261  -34.9771     1683876.2773    -4953741.9448    -3635944.7818    2010.185 2013.632   3.45 
 DGF1  -70.6617  -33.4573     1764064.9271    -5026608.8990    -3496702.7710    2004.001 2021.985  17.98 
 DINO  -67.8426  -30.1633     2082037.2786    -5112734.7532    -3186756.7998    2012.739 2021.988   9.25 
 EBY1  -55.8922  -27.3690     3178529.8302    -4693288.1558    -2914646.4712    2021.664 2021.988   0.32 
 EBYP  -55.8922  -27.3689     3178529.8970    -4693288.1554    -2914645.4183    2008.999 2021.522  12.52 
 EISL -109.3833  -27.1482    -1884951.5692    -5357595.9255    -2892890.5140    2000.001 2004.955   4.95 
 EMAT  -71.6627  -31.1467     1718921.1248    -5186197.6209    -3279846.1115    2007.344 2021.985  14.64 
 EPSF  -60.6721  -31.6399     2662177.3607    -4738544.5949    -3326539.0687    2012.195 2021.988   9.79 
 ESQU  -71.3234  -42.9171     1498229.0660    -4432287.0822    -4321164.2511    2008.750 2021.988  13.24 
 FBAQ  -69.7554  -20.1346     2073316.8071    -5621607.6545    -2182074.6253    2003.810 2021.988  18.18 
 FMCO  -70.6943  -26.5790     1887097.2051    -5386988.8241    -2836597.4557    2017.952 2021.988   4.04 
 FORT  -38.4256   -3.8774     4985386.6169    -3954998.5957     -428426.4362    2000.001 2006.267   6.27 
 GLPS  -90.3037   -0.7430      -33801.7580    -6377516.5318      -82154.4117    2003.018 2021.988  18.97 
 GVAL  -41.9576  -18.8556     4490200.7877    -4036984.9720    -2048288.2714    2010.001 2014.267   4.27 
 HMBS  -69.8877  -20.2784     2058474.3806    -5621316.7580    -2197049.4401    2007.242 2020.310  13.07 
 HSCO  -71.2266  -28.4615     1805950.8421    -5313025.5696    -3021583.2209    2017.738 2021.985   4.25 
 IGM1  -58.4393  -34.5722     2751804.0323    -4479879.2911    -3598922.5281    2004.001 2021.988  17.99 
 ILOC  -72.1790  -34.9488     1601746.7057    -4982579.9602    -3633226.1376    2010.188 2021.985  11.80 
 INCP  -69.9128  -26.7459     1958033.2764    -5354287.8879    -2853834.1441    2017.862 2019.319   1.46 
 IQQE  -70.1317  -20.2735     2034208.4336    -5629172.2757    -2196141.8823    2002.497 2021.988  19.49 
 ISPA -109.3444  -27.1250    -1881703.7192    -5359979.7078    -2890599.2341    2004.122 2019.023  14.90 
 JBAL  -65.6227  -27.5844     2335115.5688    -5153171.4560    -2935953.1571    2009.442 2021.985  12.54 
 JCHL  -68.7463  -30.2426     1999466.7153    -5140643.7963    -3194242.4634    2015.659 2021.985   6.33 
 JRGN  -70.5749  -23.2889     1949494.2796    -5528160.8005    -2506270.0183    2005.845 2021.988  16.14 
 JUNT  -70.0936  -29.9766     1883360.0008    -5200907.3536    -3169195.2835    2007.952 2021.985  14.03 
 KOUR  -52.8060    5.2522     3839591.3957    -5059567.5683      579956.9742    2000.001 2021.988  21.99 
 LEMU  -72.0034  -34.3910     1627884.9387    -5011136.6469    -3582351.5060    2010.182 2015.949   5.77 
 LHCL  -65.5952  -38.0027     2079355.6010    -4582903.4424    -3905925.7113    2000.053 2020.764  20.71 
 LHOR  -71.2975  -29.5759     1780206.1243    -5258628.0369    -3129678.0465    2016.889 2021.985   5.10 
 LLCH  -71.0815  -28.1903     1824081.1168    -5322091.1747    -2995230.8171    2014.105 2021.985   7.88 
